post_id,comment_id,comment_index,corrected_topics,classification_status,review,inital_topic_by_LLM
1o3ojpn,niwlk4d,17,Use Local LLM,,,Use Local LLM
1o3ojpn,nix65eq,27,Use Local LLM,,,Use Local LLM
1o3ojpn,nix5kem,31,Use Local LLM,,,
1i2bz6m,m7emoll,0,Use Local LLM,,,
1i2bz6m,m7lafou,2,Use Local LLM,,,
1i2bz6m,m7hf5zp,12,Use Local LLM,,,Use Local LLM
1iopurz,mcmb8pr,0,Manual Code Verification;Secure IDE Configuration;Sensitive File Protection;Tool/Extension Monitoring;Use Local LLM,,,Logging and Monitoring;Manual Code Verification;Sensitive File Protection;Tool/Extension Monitoring
1iopurz,mcol7hi,1,Consult Vendors;Disable Telemetry;Tool/Extension Monitoring;Use Local LLM,,,Consult Vendors;Refer to Documentation
1iopurz,mcq0d4t,3,Use Local LLM,,,Sensitive File Protection
1iopurz,mcluaz7,11,Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1iopurz,mcltx8e,10,Manual Code Verification,,,Manual Code Verification;Tool/Extension Monitoring
1iopurz,mlz90zs,16,Sensitive File Protection;Use Local LLM,,,Use Local LLM
1k1rl0m,mnpmzz0,2,Manual Code Verification,,,
1kv291s,mu6h946,1,Sandboxing,,,
1kv291s,mu9ph4y,2,Secure IDE Configuration,,,Secure IDE Configuration
1m1t2z9,n3knp7t,5,Secure IDE Configuration;Sensitive File Protection,,,Sandboxing;Secure IDE Configuration;Sensitive File Protection
1m1t2z9,n48ulup,7,Refer to Documentation;Sensitive File Protection,,,Refer to Documentation;Secure IDE Configuration
1m1t2z9,n3kb856,13,Refer to Documentation,,,Refer to Documentation
1nngzbl,nfl8teg,0,Check Organizational Compliance,,,Check Organizational Compliance
1nngzbl,nfmc111,3,Check Organizational Compliance;Use Local LLM,,,Check Organizational Compliance;Sensitive File Protection;Use Local LLM
1nngzbl,nflo5kz,4,Check Organizational Compliance;Sensitive File Protection,,,Check Organizational Compliance;Secure IDE Configuration;Sensitive File Protection
1nngzbl,nfl91ar,5,Sandboxing;Sensitive File Protection;Use Local LLM,,,Sandboxing;Use Local LLM
1nngzbl,nflft9s,6,Check Organizational Compliance,,,Check Organizational Compliance
1nngzbl,nfreb04,9,Consult Vendors,,,Consult Vendors
1eces9s,lf2ltqf,1,Check Organizational Compliance;Use Local LLM,,,Check Organizational Compliance;Refer to Documentation;Use Local LLM
1eces9s,lf0m5gh,2,Use Local LLM,,,Use Local LLM
1fioys7,lnizgpj,2,Refer to Documentation,,,
1fioys7,lnjwpsm,5,Consult Vendors,,,Consult Vendors
1fioys7,lniswoz,7,Refer to Documentation,,,Refer to Documentation
1fioys7,lnm3n6r,8,Sensitive File Protection,,,
1ixkyvc,men64lh,0,Refer to Documentation;Sensitive File Protection,,,Disable Telemetry;Refer to Documentation
1jawek1,mhpaeyl,0,Use Local LLM,,,Use Local LLM
1k7e3a1,mp05t61,0,Secure IDE Configuration,,,Secure IDE Configuration
1k7e3a1,moxhvd8,3,Use Local LLM,,,
1lqsuvp,n15eboi,0,Sensitive File Protection,,,Sensitive File Protection;Use Version Control
1lqsuvp,n15ezar,2,Sensitive File Protection,,,Sensitive File Protection
1moe4nq,n8bgp50,0,Consult Vendors,not_a_suggestion,Consult Vendors,Consult Vendors
1moe4nq,namid7x,7,Memory/Context Isolation,,,Memory/Context Isolation;Sensitive File Protection
1moe4nq,n8jdylf,6,Sensitive File Protection,,,Sensitive File Protection
1nd73si,ndexngb,20,Use Local LLM,,,
1nd73si,ndevc3i,19,Use Local LLM,,,
1nd73si,ndep2h1,25,Disable Telemetry,,,Disable Telemetry;Secure IDE Configuration
1nd73si,ndeup0w,38,Memory/Context Isolation ,not_a_suggestion,Memory/Context Isolation ,
1nd73si,ndeta9r,42,Use Local LLM,,,Use Local LLM
1nd73si,ndg370k,41,Consult Vendors,,,Refer to Documentation
1nd73si,ndexqh2,48,Disable Telemetry,,,Disable Telemetry
1nd73si,ndevnbu,45,Use Local LLM,,,
1nd73si,ndewo0p,47,Refer to Documentation,,,
1nd73si,ndf16ol,50,Use Local LLM,,,Use Local LLM
1nd73si,ndf123e,49,Memory/Context Isolation,,,Memory/Context Isolation
1nd73si,ndfd62b,56,Consult Vendors,,,
1nd73si,ndf3kfr,63,Disable Telemetry,,,Disable Telemetry
1jjvc9b,mjqjgpc,0,Sensitive File Protection,,,Refer to Documentation;Secure IDE Configuration;Sensitive File Protection
1jjvc9b,mjtagf1,5,Sensitive File Protection,,,
1jjvc9b,mjqay75,10,Sensitive File Protection,,,Sensitive File Protection
11tfijx,jcjnch2,0,Sensitive File Protection,,,Use Local LLM
11tfijx,mmjmvv0,2,Upgrade Subscription Plan,,Upgrade Subscription ,Refer to Documentation
11tfijx,ml7arqk,4,Use Local LLM,,,Use Local LLM
1lkwwp6,mzw5zk4,0,Secure IDE Configuration;Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1lkwwp6,n03ejdo,3,Sensitive File Protection,,,Sensitive File Protection
1olyysx,nmmorpk,0,Check Organizational Compliance,,,Check Organizational Compliance
1olyysx,nmn3ju4,2,Check Organizational Compliance,,,Check Organizational Compliance
1olyysx,nmqhlxr,4,Check Organizational Compliance,,,Check Organizational Compliance
1olyysx,nmoqb7x,3,Check Organizational Compliance,,,Check Organizational Compliance
1olyysx,nmoaujb,14,Refer to Documentation,,,
1olyysx,nmp0ses,26,Check Organizational Compliance,,,Secure IDE Configuration
1olyysx,nmp5ldj,28,Check Organizational Compliance,,,Check Organizational Compliance
1olyysx,nmp5cg0,27,Refer to Documentation,,,Refer to Documentation
1olyysx,nmpdkzj,29,Secure IDE Configuration,,,Check Organizational Compliance;Refer to Documentation
1olyysx,nmqe62r,30,Check Organizational Compliance,,,Check Organizational Compliance;Secure IDE Configuration;Use Version Control
1olyysx,nmntett,48,Check Organizational Compliance,,,Check Organizational Compliance
1olyysx,nmob7iz,50,Refer to Documentation,,,
1olyysx,nmo3lon,51,Check Organizational Compliance,,,Check Organizational Compliance;Secure IDE Configuration
1olyysx,nmpnqiq,54,Secure IDE Configuration,,,Secure IDE Configuration
1olyysx,nmlkwrp,61,Check Organizational Compliance,,,Check Organizational Compliance
121odvl,jdmtcs6,1,Use Local LLM,,,Use Local LLM
121odvl,jdn83p7,3,Use Local LLM,,,
121odvl,jdmrfrd,6,Consult Vendors;Use Local LLM,,,
121odvl,jdn9yb1,15,Check Organizational Compliance,,,
121odvl,jdpfgta,19,Consult Vendors,,,Consult Vendors;Secure IDE Configuration
121odvl,jdn63w7,18,Use Local LLM,,,Check Organizational Compliance;Secure IDE Configuration
1lz8p2r,n2zwo5g,1,Sensitive File Protection,,,Memory/Context Isolation;Secure IDE Configuration
1lz8p2r,n3gkiz7,5,Consult Vendors,,,Consult Vendors
1m9xgo4,n5bvqqy,3,Data Redaction,,Data Redaction,Memory/Context Isolation;Refer to Documentation;Secure IDE Configuration
1m5o9sz,n4dpjcx,0,Disable Telemetry,,,Disable Telemetry;Secure IDE Configuration
1m5o9sz,n4ipmk6,4,Check Organizational Compliance,,,Consult Vendors
1m5o9sz,n4gnbov,12,Manual Code Verification,,,Manual Code Verification
1m5ods8,n4dl3b1,10,Disable Telemetry;Use Local LLM,,,Disable Telemetry;Use Local LLM
1m5ods8,n4dj5xd,9,Disable Telemetry;Use Local LLM,,,Disable Telemetry;Use Local LLM
1m5ods8,n4dr2ju,11,Disable Telemetry,,,
1m5ods8,n4hrsz1,16,Use Local LLM,,,Secure IDE Configuration;Tool/Extension Monitoring;Use Local LLM
1m5ods8,na6thed,25,Disable Telemetry,,,Disable Telemetry;Secure IDE Configuration
1k9rcw1,mpgir7d,0,Use Local LLM,,,
1k9rcw1,mpgp9cb,1,Use Local LLM,,,Use Local LLM
1k9rcw1,mpi5rmu,2,Use Local LLM,,,Use Local LLM
1njmpig,ng0fqq9,2,Refer to Documentation;Secure IDE Configuration,,,Refer to Documentation;Secure IDE Configuration;Sensitive File Protection
1kx4pil,mums41p,0,Sensitive File Protection,,,
1l2993i,mvtbkmm,6,Sandboxing,,,Disable Telemetry;Secure IDE Configuration
1l3brpx,mw2bcf0,2,Check Organizational Compliance,,,Consult Vendors
1l3brpx,mvzyn5f,3,Use Local LLM,,,Use Local LLM
1l3brpx,mw00lo7,9,Check Organizational Compliance,,,Check Organizational Compliance
1l3brpx,mvznruk,12,Refer to Documentation,,,
1l3brpx,mw0lzc4,13,Check Organizational Compliance,,,Check Organizational Compliance
1l3brpx,mvzsdfn,23,Check Organizational Compliance,,,Check Organizational Compliance
1l3brpx,mvznopd,25,Check Organizational Compliance,,,
1l3brpx,mvzqk09,26,Check Organizational Compliance,,,Check Organizational Compliance
1l3brpx,mw1d0g3,27,Use Local LLM,,,Use Local LLM
1l3brpx,mw44isn,28,Check Organizational Compliance,,,Consult Vendors;Secure IDE Configuration
1l3brpx,mw5wtcs,30,Check Organizational Compliance,,,
1l3brpx,mw2alzn,32,Check Organizational Compliance;Use Local LLM,,,Check Organizational Compliance;Secure IDE Configuration;Use Local LLM
1ldwxlu,mycb0zi,3,Check Organizational Compliance,,,Check Organizational Compliance
1ltm73x,n1smd64,4,Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1ltm73x,n1rpfyw,13,Use Local LLM,,,Sensitive File Protection;Use Local LLM
1ltm73x,n1rfny9,18,Disable Telemetry,,,Disable Telemetry
1ltm73x,n1x3ma1,35,Use Local LLM,,,Use Local LLM
1m6hbaa,ngcfbo1,1,Check Organizational Compliance,,,Check Organizational Compliance
1mahokf,n5eu16n,7,Use Local LLM,,,
1nj6ojg,nep6p7f,1,Check Organizational Compliance,,,Check Organizational Compliance
1nj6ojg,ner45b4,4,Check Organizational Compliance,,,Check Organizational Compliance
1nj6ojg,neqml32,16,Check Organizational Compliance,,,Check Organizational Compliance
1nj6ojg,neqc5kk,15,Check Organizational Compliance,,,Check Organizational Compliance
1nj6ojg,nf21217,17,Check Organizational Compliance,,,Check Organizational Compliance
1nj6ojg,ner1cs3,19,Check Organizational Compliance,,,Consult Vendors
1nj6ojg,neufrj9,25,Secure IDE Configuration,,,Check Organizational Compliance
1nj6ojg,nerqb2r,34,Check Organizational Compliance,,,
1nj6ojg,nesfgmn,35,Check Organizational Compliance,,,
1clhvd5,l2u4rdy,2,Memory/Context Isolation,,,Memory/Context Isolation
1clhvd5,l2tx59j,7,Memory/Context Isolation,,,Memory/Context Isolation
1gsq1dw,lxh2sco,10,Use Local LLM,,,Use Local LLM
1jb84a1,mhx8nbf,4,Tool/Extension Monitoring,,,
1jb84a1,mhs3fob,1,Secure IDE Configuration,,,Tool/Extension Monitoring
1k7iiya,mp0gcn3,1,Secure IDE Configuration,,,
1k7iiya,nq36rif,5,Sensitive File Protection,,,Secure IDE Configuration;Sensitive File Protection
1gepias,luc7rmh,6,Disable Telemetry,,,Tool/Extension Monitoring
1gepias,lucmft6,10,Consult Vendors;Disable Telemetry,,,Consult Vendors
1gepias,lucyvwa,11,Disable Telemetry,,,Disable Telemetry;Refer to Documentation
1gepias,lv7d9xz,15,Disable Telemetry,,,Disable Telemetry;Secure IDE Configuration
1gepias,lvmsgnq,16,Disable Telemetry,,,
1gepias,lun421w,22,Sensitive File Protection,,,
1gepias,lukh99y,41,Disable Telemetry,,,Disable Telemetry
1lpbt8y,n0ugghf,4,Memory/Context Isolation;Refer to Documentation;Sensitive File Protection,,,Memory/Context Isolation;Refer to Documentation;Secure IDE Configuration;Sensitive File Protection
1lpbt8y,n0tmjub,8,Sensitive File Protection,,,Sensitive File Protection;Use Version Control
1lpbt8y,n0w3c6y,17,Sensitive File Protection,,,Sensitive File Protection
1lpbt8y,n11xhgz,18,Sensitive File Protection,,,
1o8csou,njuj7r6,2,Refer to Documentation,,,
1kgzu0u,mr7mcos,7,Consult Vendors,,,
1kgzu0u,mrtg49r,8,Disable Telemetry,,,Disable Telemetry;Refer to Documentation
1kgzu0u,msitmbz,9,Consult Vendors;Disable Telemetry,,,Consult Vendors;Refer to Documentation
1kvreqa,mubluij,0,Disable Telemetry,,,
1kvreqa,mubmfd1,1,Disable Telemetry,,,Disable Telemetry;Secure IDE Configuration
1kvreqa,muboahj,9,Refer to Documentation,,,
1kvreqa,mubudq2,15,Disable Telemetry,,,
1kvreqa,muc6f13,21,Consult Vendors,,,
1npzt7a,ng4n7qm,1,Refer to Documentation,,,Refer to Documentation
1jhmnwb,mj8floa,0,Use Local LLM,,,Check Organizational Compliance;Secure IDE Configuration;Use Local LLM
1jhmnwb,mj8eebv,1,Check Organizational Compliance;Disable Telemetry;Use Local LLM,,,Check Organizational Compliance;Use Local LLM
1jhmnwb,mj8njbt,2,Check Organizational Compliance,,,Check Organizational Compliance
1jhmnwb,mj9yfth,4,Check Organizational Compliance;Disable Telemetry,,,Disable Telemetry;Secure IDE Configuration
1jhmnwb,mja3q3g,5,Secure IDE Configuration,,,Secure IDE Configuration;Sensitive File Protection
1jhmnwb,mjnhzii,7,Check Organizational Compliance;Use Local LLM,,,Check Organizational Compliance;Use Local LLM
1ordvv6,nnpgjsm,0,Sandboxing,,,Sandboxing
