post_id,comment_id,comment_index,matched_topics,classification_status
1pt3vcm,nvesosv,22,,not_a_suggestion
1pt3vcm,nvettwn,23,Use Version Control,
1pt3vcm,nvf4fmz,26,Secure IDE Configuration,
1pt3vcm,nvf4xn7,27,Sandboxing,
1pt3vcm,nvexj00,24,,not_a_suggestion
1pt3vcm,nvesdfq,20,Secure IDE Configuration,
1pt3vcm,nvf50ms,28,,not_a_suggestion
1pt3vcm,nvf92zm,30,Secure IDE Configuration,
1pt3vcm,nvfdtbv,31,Secure IDE Configuration,
1pt3vcm,nvfe265,32,Secure IDE Configuration,
1pt3vcm,nvf8kld,29,Secure IDE Configuration,
1pt3vcm,nvexut3,25,,"suggestion_out_of_scope: {
  ""is_suggestion"": true,
  ""matched_topics"": []
}"
1pt3vcm,nvfw7w8,35,,not_a_suggestion
1pt3vcm,nvflqua,33,,not_a_suggestion
1pt3vcm,nvg0a84,36,,not_a_suggestion
1pt3vcm,nvfvfl9,34,Use Version Control,
1pt3vcm,nvg4m70,39,,not_a_suggestion
1pt3vcm,nvg34hq,38,Use Version Control,
1pt3vcm,nvg712o,40,,not_a_suggestion
1pt3vcm,nvgd9qw,42,,not_a_suggestion
1pt3vcm,nvgdj27,43,,not_a_suggestion
1pt3vcm,nvglzk1,44,Secure IDE Configuration,
1pt3vcm,nvga85x,41,,not_a_suggestion
1pt3vcm,nvgtaui,45,,not_a_suggestion
1pt3vcm,nvmt2a4,48,,not_a_suggestion
1pt3vcm,nvhsq51,46,Manual Code Verification;Use Version Control,
1pt3vcm,nvg1qk0,37,Use Version Control,
1pt3vcm,nvn7r80,49,,not_a_suggestion
1pt3vcm,nvnr0w4,50,Sandboxing,
1pt3vcm,nvo37dg,51,,not_a_suggestion
1pt3vcm,nwi2474,54,,not_a_suggestion
1pt3vcm,nwq8031,55,,not_a_suggestion
1pt3vcm,nw7vn26,53,Refer to Documentation;,
1pt3vcm,nvi23lv,47,Secure IDE Configuration;Tool/Extension Monitoring,
1qdzhuf,nztnh3m,2,,not_a_suggestion
1pt3vcm,nvoggtd,52,Use Version Control,
1qdzhuf,nztncm6,1,Sandboxing,
1qdzhuf,nzut9vg,5,Secure IDE Configuration;Use Version Control,
1qdzhuf,nztn9z0,0,Use Version Control,
1qdzhuf,nzvv2it,6,Use Version Control,
1qdzhuf,nzvvvmf,7,,not_a_suggestion
1qdzhuf,nzttkti,3,Secure IDE Configuration,
1qdzhuf,nzw9wcs,9,Use Version Control,
1qdzhuf,nzw8fzy,8,Use Version Control,
1qdzhuf,nzwaeg7,10,Use Version Control,
1qdzhuf,o00jxh0,13,,not_a_suggestion
1qdzhuf,nztyldn,4,Use Version Control,
1qdzhuf,nzwowfy,11,Use Version Control,
1qdzhuf,o00k7lb,14,,not_a_suggestion
1qdzhuf,o00kdxr,15,,not_a_suggestion
1qdzhuf,o00qr72,18,,not_a_suggestion
1qdzhuf,o00q7pp,17,,not_a_suggestion
1qdzhuf,o0ewlb4,19,,not_a_suggestion
1qdzhuf,o00kjfa,16,,not_a_suggestion
1qo8rk8,o1zkpoh,1,Sandboxing,
1qo8rk8,o1zkp9h,0,Secure IDE Configuration,
1qdzhuf,o0fy0cf,20,Use Version Control,
1qo8rk8,o1zllew,2,,not_a_suggestion
1qdzhuf,nzz9mtm,12,Sensitive File Protection,
1qo8rk8,o206nw4,5,,not_a_suggestion
1qo8rk8,o1zyyim,4,,not_a_suggestion
1qo8rk8,o20g6ye,8,,not_a_suggestion
1qo8rk8,o22hhxn,9,Secure IDE Configuration,
1qo8rk8,o20fuvx,7,Secure IDE Configuration;Use Version Control,
1qo8rk8,o27tcp1,11,,not_a_suggestion
1qo8rk8,o1znxi0,3,Use Version Control,
1qo8rk8,o27trrx,13,,not_a_suggestion
1qo8rk8,o27tgny,12,,not_a_suggestion
1qo8rk8,o27tu1j,14,,not_a_suggestion
1qo8rk8,o27tyyg,16,,not_a_suggestion
1qo8rk8,o27tw1i,15,,not_a_suggestion
1qo8rk8,o27u1lw,17,,not_a_suggestion
1qo8rk8,o27ucax,19,,not_a_suggestion
1qo8rk8,o27ueb6,20,,not_a_suggestion
1qo8rk8,o20d09x,6,Secure IDE Configuration,
1qo8rk8,o27y29b,21,,not_a_suggestion
1qo8rk8,o27u7vg,18,,not_a_suggestion
1qo8rk8,o23kefv,10,Tool/Extension Monitoring,
1qo8rk8,o280l6s,22,,not_a_suggestion
1qo8rk8,o2r3l20,25,,not_a_suggestion
1qo8rk8,o28968y,24,Manual Code Verification,
1qo8rk8,o2r3mns,26,Use Version Control,
1qo8rk8,o2r3ptl,28,,not_a_suggestion
1qo8rk8,o2814hn,23,Refer to Documentation,
1qo8rk8,o2r3np8,27,,not_a_suggestion
1qo8rk8,o2rdf2z,29,,"suggestion_out_of_scope: {
  ""is_suggestion"": true,
  ""matched_topics"": []
}"
1qo8rk8,o2rk2x5,30,Use Version Control,
1qo8rk8,o2yxy5c,33,,not_a_suggestion
1p1zrqp,nptm6nz,0,,not_a_suggestion
1qo8rk8,o2rpv4j,31,Use Version Control,
1s4agur,oclk4ai,1,,not_a_suggestion
1p1zrqp,npymu51,1,,not_a_suggestion
1s4agur,ocllkci,2,,not_a_suggestion
1s4agur,ocloonu,3,,not_a_suggestion
1s4agur,ocmegjx,5,,not_a_suggestion
1qo8rk8,o2yxsb6,32,,not_a_suggestion
1s4agur,ocr2lxn,7,,not_a_suggestion
1s4agur,ocq5uui,6,,not_a_suggestion
1s4agur,oclp8ao,4,Consult Vendors,
1pmfi7y,ntzki2c,2,,not_a_suggestion
1pmfi7y,ntzl1g9,3,Check Organizational Compliance;Logging and Monitoring,
1pmfi7y,ntzhp9y,1,Check Organizational Compliance;Secure IDE Configuration,
1pmfi7y,ntzmy1u,4,,not_a_suggestion
1s4agur,oclic3i,0,,not_a_suggestion
1pmfi7y,ntztmo3,6,,not_a_suggestion
1pmfi7y,ntzsqe7,5,Manual Code Verification,
1pmfi7y,nu05nyu,9,,not_a_suggestion
1pmfi7y,nu09yaq,10,Use Version Control,
1pmfi7y,ntzx726,8,,not_a_suggestion
1pmfi7y,ntzveij,7,,"suggestion_out_of_scope: {
  ""is_suggestion"": true,
  ""matched_topics"": []
}"
1pmfi7y,nu0b1j6,11,,not_a_suggestion
1pmfi7y,nu0qb2f,13,,"suggestion_out_of_scope: {
  ""is_suggestion"": true,
  ""matched_topics"": []
}"
1pmfi7y,nu0shp8,14,Use Version Control,
1pmfi7y,nu0wkvh,15,,not_a_suggestion
1pmfi7y,ntzh1wq,0,,"suggestion_out_of_scope: {
  ""is_suggestion"": true,
  ""matched_topics"": []
}"
1pmfi7y,nu0pcra,12,Logging and Monitoring,
1pmfi7y,nu10h1v,17,,not_a_suggestion
1pmfi7y,nu1bopf,19,,not_a_suggestion
1pmfi7y,nu12ckk,18,Sensitive File Protection,
1pbi0lv,nrqwucl,0,,not_a_suggestion
1pmfi7y,nuabh17,21,,not_a_suggestion
1pbi0lv,nrqzk86,1,,not_a_suggestion
1pbi0lv,nrrsajt,3,,not_a_suggestion
1pmfi7y,nu5v9kf,20,,not_a_suggestion
1pbi0lv,nrstded,4,,not_a_suggestion
1pcl58p,nryruv4,0,,not_a_suggestion
1pbi0lv,nrrpgc9,2,Consult Vendors,
1pcl58p,nrzcdqj,2,,not_a_suggestion
1pcl58p,nrz14wa,1,,not_a_suggestion
1pcl58p,nrzi0zn,3,,not_a_suggestion
1pcl58p,nrznas9,4,,not_a_suggestion
1pmfi7y,nu0y701,16,Sensitive File Protection;Use Version Control,
1pcl58p,ns2xzn4,7,,not_a_suggestion
1pcl58p,ns1gsqc,6,,not_a_suggestion
1pcl58p,ns7qs2b,8,,not_a_suggestion
1pcl58p,ns9z01x,10,,not_a_suggestion
1pcl58p,nsd0qfv,11,,not_a_suggestion
1pcl58p,ns98mzc,9,,not_a_suggestion
1pcl58p,nsdifdc,12,,not_a_suggestion
1pcl58p,nsdl4w1,13,,not_a_suggestion
1pcl58p,nshhsfi,15,,not_a_suggestion
1pcl58p,nselzkl,14,Logging and Monitoring;Manual Code Verification,
1pcl58p,nt3dul1,18,,not_a_suggestion
1pcl58p,nt3tafk,19,,not_a_suggestion
1pcl58p,nrzno47,5,Manual Code Verification,
1pcl58p,nssjmx5,17,,not_a_suggestion
1pqx586,nv5u9af,1,,not_a_suggestion
1pcl58p,nspwxh4,16,Logging and Monitoring;Sensitive File Protection,
1pqx586,nv9dgik,2,,not_a_suggestion
1pqx586,nvgs8jd,3,,not_a_suggestion
1pqx586,nvgsjvn,5,,not_a_suggestion
1pcl58p,ntg0afu,20,Logging and Monitoring,
1pqx586,nvgsfob,4,,not_a_suggestion
1pqx586,nvh3qv8,6,,not_a_suggestion
1qyfbkm,o433jfc,0,Secure IDE Configuration,
1qyfbkm,o43c71i,3,,not_a_suggestion
1qyfbkm,o4362to,2,,not_a_suggestion
1qyfbkm,o434itl,1,,not_a_suggestion
1q2in98,nxdbi37,0,Sensitive File Protection,
1pqx586,nuzd0im,0,Use Version Control,
1q2in98,nxde1o1,2,Sensitive File Protection,
1q2in98,nxdf03v,3,,not_a_suggestion
1q2in98,nxdfzts,4,Use Local LLM,
1q2in98,nxdisxk,6,Use Local LLM,
1q2in98,nxdn7nx,8,,not_a_suggestion
1q2in98,nxdiglj,5,,not_a_suggestion
1q2in98,nxdjayb,7,Sensitive File Protection,
1q2in98,nxdnarj,9,,not_a_suggestion
1q2in98,nxdo8bx,11,,not_a_suggestion
1q2in98,nxdowsb,12,,not_a_suggestion
1q2in98,nxdc80a,1,Secure IDE Configuration;Sensitive File Protection,
1q2in98,nxdsb46,14,Use Local LLM,
1q2in98,nxdu7a3,15,Sensitive File Protection,
1q2in98,nxdnwyt,10,Sensitive File Protection,
1q2in98,nxepsmt,18,,not_a_suggestion
1q2in98,nxer3u1,19,,not_a_suggestion
1q2in98,nxdqnit,13,Sensitive File Protection,
1q2in98,nxdy4j6,16,Secure IDE Configuration,
1q2in98,nxevyn0,20,,not_a_suggestion
1q2in98,nxexmgc,23,,not_a_suggestion
1q2in98,nxew5te,21,,not_a_suggestion
1q2in98,nxey31i,24,Use Local LLM,
1q2in98,nxe7zwl,17,Secure IDE Configuration;Sensitive File Protection,
1q2in98,nxeyh3p,25,,not_a_suggestion
1p02vkw,npkpdwk,0,,not_a_suggestion
1p02vkw,npn4sd4,2,,not_a_suggestion
1p02vkw,npvlw1v,3,,not_a_suggestion
1q2in98,nxexlrq,22,Use Local LLM,
1p02vkw,npmhjsj,1,Check Organizational Compliance,
1p8f96i,nr64qt5,1,,not_a_suggestion
1p8f96i,nr6gkeg,2,,not_a_suggestion
1p8f96i,nr4u4dc,0,,not_a_suggestion
1p8f96i,nrc7vl8,5,,not_a_suggestion
1p8f96i,nr6x7x1,4,,not_a_suggestion
1pt6j53,nveprxd,2,,not_a_suggestion
1pt6j53,nveokic,0,,not_a_suggestion
1pt6j53,nveq3up,3,Memory/Context Isolation,
1pt6j53,nveqau8,4,Use Local LLM,
1pt6j53,nverhyl,6,,not_a_suggestion
1p8f96i,nr6rj75,3,Disable Telemetry;Refer to Documentation,
1pt6j53,nves1w9,7,,not_a_suggestion
1pt6j53,nvesdmu,8,,not_a_suggestion
1pt6j53,nvesvx3,10,Use Local LLM,
1pt6j53,nvet9am,11,,not_a_suggestion
1pt6j53,nvetest,12,,not_a_suggestion
1pt6j53,nvep361,1,Check Organizational Compliance,
1pt6j53,nvesmzd,9,,not_a_suggestion
1pt6j53,nveu451,15,,not_a_suggestion
1pt6j53,nvetfqj,13,,not_a_suggestion
1pt6j53,nveu1en,14,Use Local LLM,
1pt6j53,nvev9vq,18,,not_a_suggestion
1pt6j53,nveuge3,16,,not_a_suggestion
1pt6j53,nvewwsz,19,,not_a_suggestion
1pt6j53,nver0ok,5,Consult Vendors,
1pt6j53,nvf0py3,20,,not_a_suggestion
1pt6j53,nvev09x,17,,not_a_suggestion
1pt6j53,nvf4gv5,22,,not_a_suggestion
1pt6j53,nvf6tsi,23,,not_a_suggestion
1pt6j53,nvfg4a9,26,,not_a_suggestion
1pt6j53,nvfastv,24,,not_a_suggestion
1pt6j53,nvfrfwp,28,,not_a_suggestion
1pt6j53,nvfckoh,25,,not_a_suggestion
1pt6j53,nvfmui3,27,Consult Vendors,
1pt6j53,nvfulmp,30,,not_a_suggestion
1pt6j53,nvhb5ng,32,,not_a_suggestion
1pt6j53,nvgvnov,31,Sensitive File Protection,
1pt6j53,nvj721x,34,,not_a_suggestion
1pt6j53,nvjd6kv,35,,not_a_suggestion
1pt6j53,nvjqmvv,36,,not_a_suggestion
1pt6j53,nvkcqng,37,,not_a_suggestion
1pt6j53,nvi9gm6,33,,not_a_suggestion
1pt6j53,nvfu7im,29,Sensitive File Protection,
1pt6j53,nvkh8o9,38,,not_a_suggestion
1pt6j53,nvkvo1e,39,,not_a_suggestion
1pt6j53,nvkw3xv,40,,not_a_suggestion
1pt6j53,nvoqfde,42,,not_a_suggestion
1pvfiwd,nvvolwx,0,,not_a_suggestion
1pvfiwd,nvwt7tr,1,,not_a_suggestion
1pvfiwd,nvyc6cv,3,,not_a_suggestion
1pvfiwd,nvz3tdu,4,,not_a_suggestion
1pt6j53,nvlua8y,41,,not_a_suggestion
1p0byuq,npi797u,1,Secure IDE Configuration,
1pvfiwd,nvx255w,2,,not_a_suggestion
1p0byuq,nply8uo,3,,not_a_suggestion
1p1195j,npmurj1,0,,not_a_suggestion
1p0byuq,nplxvmg,2,,not_a_suggestion
1p1195j,npn3tuz,3,,not_a_suggestion
1p1195j,npmvpai,1,,not_a_suggestion
1p1195j,npnig3w,4,,not_a_suggestion
1p1195j,npnqz7p,5,Memory/Context Isolation,
1p1195j,npo5hoe,7,,not_a_suggestion
1pt6j53,nvf3hdm,21,Check Organizational Compliance,
1p1195j,npormtq,9,,not_a_suggestion
1p1195j,npo69y7,8,,not_a_suggestion
1p1195j,npx07kt,11,,not_a_suggestion
1ri73m7,o83xjmm,0,,not_a_suggestion
1ri73m7,o83xys8,1,,not_a_suggestion
1p1195j,npowlqj,10,,not_a_suggestion
1p1195j,npmzvy9,2,Check Organizational Compliance,
1ri73m7,o84g8v1,2,,not_a_suggestion
1p1195j,npnuk75,6,Memory/Context Isolation,
1ri73m7,o85ajld,3,Secure IDE Configuration,
1ri73m7,o8az7u4,5,,not_a_suggestion
1ri73m7,o86aoo6,4,Sandboxing;Secure IDE Configuration,
1pe591t,ns9wq5k,0,Sandboxing,
1p5tbg9,nqlg9wr,0,,not_a_suggestion
1pd120u,ns1vpqk,0,,not_a_suggestion
1p5tbg9,nqm5555,1,Manual Code Verification,
1pd120u,ns295yq,1,,not_a_suggestion
1pdwm8c,ns83uud,0,,not_a_suggestion
1pdwm8c,ns84w1e,2,,not_a_suggestion
1pdwm8c,ns85vcl,3,,not_a_suggestion
1pdwm8c,ns84h1l,1,,not_a_suggestion
1pdwm8c,ns8axn0,4,,not_a_suggestion
1ri73m7,o991rlz,6,Secure IDE Configuration;Sensitive File Protection,
1p5tbg9,nqm5xu3,2,Memory/Context Isolation,
1pdwm8c,ns8cw7h,5,,not_a_suggestion
1pdwm8c,ns8ejw3,6,Manual Code Verification,
1pdwm8c,ns8epm9,8,,not_a_suggestion
1pdwm8c,ns8eviq,9,,not_a_suggestion
1pdwm8c,ns8fa8d,11,,not_a_suggestion
1pdwm8c,ns8eno6,7,Manual Code Verification,
1pdwm8c,ns8fqoc,12,,not_a_suggestion
1pdwm8c,ns8eyw0,10,Logging and Monitoring;Tool/Extension Monitoring,
1pdwm8c,ns8jh48,15,Tool/Extension Monitoring,
1pdwm8c,ns8ht17,14,,not_a_suggestion
1pdwm8c,ns8y6wj,18,,not_a_suggestion
1pdwm8c,ns8jp0l,16,Check Organizational Compliance,
1pdwm8c,ns8ydvt,19,,not_a_suggestion
1pdwm8c,ns90dmg,20,,not_a_suggestion
1pdwm8c,ns9dzjg,22,,not_a_suggestion
1pdwm8c,ns8xus5,17,,not_a_suggestion
1pdwm8c,nsa9kda,24,,not_a_suggestion
1pdwm8c,ns9byzp,21,,not_a_suggestion
1pdwm8c,nsa0jnc,23,,not_a_suggestion
1pdwm8c,nsar9jj,27,,not_a_suggestion
1pdwm8c,nsb8qly,28,,not_a_suggestion
1pdwm8c,nsabew3,25,,not_a_suggestion
1pdwm8c,nsakxw1,26,,not_a_suggestion
1pdwm8c,nsdxq79,30,,not_a_suggestion
1pdwm8c,nsfju8b,31,,not_a_suggestion
1pf067e,nsg8jwv,0,,not_a_suggestion
1pdwm8c,ns8gcxb,13,Secure IDE Configuration;Tool/Extension Monitoring,
1pdwm8c,nt2nl56,33,,not_a_suggestion
1pdwm8c,nt2on4k,34,,not_a_suggestion
1pdwm8c,nt2oqju,35,,not_a_suggestion
1qrkl0n,o2ow95q,1,,not_a_suggestion
1qrkl0n,o2ow41v,0,,not_a_suggestion
1qrkl0n,o2p1m7u,2,,not_a_suggestion
1qrkl0n,o2p6p39,3,,not_a_suggestion
1pdwm8c,nsdv0pe,29,,not_a_suggestion
1qrkl0n,o36qjoq,5,,not_a_suggestion
1qu0qld,o36s4t2,0,,not_a_suggestion
1qu0qld,o36ub81,1,,not_a_suggestion
1qu0qld,o36ufxt,2,,not_a_suggestion
1qrkl0n,o2qx4rp,4,,not_a_suggestion
1pdwm8c,nsskwvf,32,Tool/Extension Monitoring,
1qu0qld,o36v5d7,3,,not_a_suggestion
1qu0qld,o37140m,7,,not_a_suggestion
1qu0qld,o36vje4,4,,not_a_suggestion
1qu0qld,o3722ex,8,,not_a_suggestion
1qu0qld,o372p99,10,,not_a_suggestion
1qu0qld,o3737sf,11,,not_a_suggestion
1qu0qld,o374gxm,12,,not_a_suggestion
1qu0qld,o377wid,13,,not_a_suggestion
1qu0qld,o37289a,9,,not_a_suggestion
1qu0qld,o370z99,6,,"suggestion_out_of_scope: {
  ""is_suggestion"": true,
  ""matched_topics"": []
}"
1qu0qld,o37c2f5,15,,not_a_suggestion
1qu0qld,o37bzwm,14,,not_a_suggestion
1qu0qld,o37nrn2,16,,not_a_suggestion
1qu0qld,o3ansmb,19,,not_a_suggestion
1qu0qld,o3aq699,20,,not_a_suggestion
1qu0qld,o39o9gy,18,Secure IDE Configuration,
1qu0qld,o38vd5s,17,,not_a_suggestion
1qu0qld,o3c4219,22,,not_a_suggestion
1qu0qld,o3c9jfs,23,,not_a_suggestion
1qu0qld,o3c9pxz,24,,not_a_suggestion
1qu0qld,o3c9x5e,26,,not_a_suggestion
1qu0qld,o3bich3,21,,not_a_suggestion
1qu0qld,o36wqjf,5,Sandboxing,
1qu0qld,o3cdz4n,28,,not_a_suggestion
1qu0qld,o3c9vmn,25,,not_a_suggestion
1qu0qld,o3dchlw,30,,not_a_suggestion
1qu0qld,o3cy91a,29,,not_a_suggestion
1qu0qld,o3gop6e,32,,not_a_suggestion
1qu0qld,o3e2vyg,31,,not_a_suggestion
1qu0qld,o3i2o4q,35,,not_a_suggestion
1qu0qld,o3ccc3a,27,Tool/Extension Monitoring,
1qu0qld,o3i2es7,34,,not_a_suggestion
1qu0qld,o3h1q7p,33,Manual Code Verification,
1qu0qld,o3mwu0c,37,,not_a_suggestion
1qu0qld,o3muj24,36,,not_a_suggestion
1qu0qld,o3pj7ts,40,,not_a_suggestion
1qu0qld,o3pkcru,41,,not_a_suggestion
1qu0qld,o3u0ysm,42,,not_a_suggestion
1qu0qld,o3ods5w,39,Secure IDE Configuration,
1qu0qld,o47vgwi,44,,not_a_suggestion
1qu0qld,o3ykcnz,43,,not_a_suggestion
1qu0qld,o4by9k0,47,,not_a_suggestion
1qu0qld,o4ks5dl,48,,not_a_suggestion
1qu0qld,o4bvvoy,46,,not_a_suggestion
